"","Sampling_site","Transect_Kick","join_key","PORIFERA","CNIDARIA","BRYOZOA","BRYOZOA","PLATYHELMINTHES","PLATYHELMINTHES_Dendrocoelidae","PLATYHELMINTHES_Dugesiidae","PLATYHELMINTHES_Planariidae","""NEMATHELMINTHES""","""NEMATHELMINTHES""","ANNELIDA","Hirudinea","Hirudinea_Erpobdellidae","Hirudinea_Glossiphoniidae","Hirudinea_Hirudidae_(Tachet)","Hirudinea_Piscicolidae","Hirudinea","Oligochaeta","Oligochaeta","MOLLUSCA","Gastropoda","Gastropoda_Acroloxidae","Gastropoda_Ancylidae_(Tachet)","Gastropoda_Bithyniidae","Gastropoda_Ferrissiidae_(Tachet)","Gastropoda_Hydrobiidae","Gastropoda_Lymnaeidae","Gastropoda_Neritidae","Gastropoda_Physidae","Gastropoda_Planorbidae","Gastropoda_Valvatidae","Gastropoda_Viviparidae","Gastropoda_Potamopyrgus_antipodarum","Bivalvia","Bivalvia_Corbiculidae*","Bivalvia_Dreissenidae*","Bivalvia_Sphaeriidae","Bivalvia_Unionidae","Bivalvia","ARTHROPODA","Arachnida_(Inf.-Cl.)_Acari","Arachnida_(Inf.-Cl.)_Acari_Hydracarina","Crustacea","Ostracoda","Copepoda","Amphipoda","Amphipoda_Corophiidae*","Amphipoda_Gammaridae","Amphipoda_Niphargidae","Isopoda","Isopoda_Asellidae","Isopoda_Janiridae*","Mysida","Mysida_Mysidae*","Decapoda","Decapoda_Astacidae","Decapoda_Cambaridae*","Insecta","Ephemeroptera","Ephemeroptera_Ameletidae","Ephemeroptera_Baetidae","Ephemeroptera_Caenidae","Ephemeroptera_Ephemerellidae","Ephemeroptera_Ephemeridae","Ephemeroptera_Heptageniidae","Ephemeroptera_Leptophlebiidae","Ephemeroptera_Oligoneuriidae","Ephemeroptera_Polymitarcyidae","Ephemeroptera_Potamanthidae","Ephemeroptera_Siphlonuridae","Odonata","Odonata_Aeshnidae","Odonata_Calopterygidae","Odonata_Coenagrionidae","Odonata_Cordulegastridae","Odonata_Corduliidae","Odonata_Gomphidae","Odonata_Lestidae","Odonata_Libellulidae","Odonata_Platycnemididae","Plecoptera","Plecoptera_Capniidae","Plecoptera_Chloroperlidae","Plecoptera_Leuctridae","Plecoptera_Nemouridae","Plecoptera_Perlidae","Plecoptera_Perlodidae","Plecoptera_Taeniopterygidae","Heteroptera","Heteroptera_Aphelocheiridae","Heteroptera_Corixidae","Heteroptera_Gerridae","Heteroptera_Hebridae","Heteroptera_Hydrometridae","Heteroptera_Mesoveliidae","Heteroptera_Naucoridae","Heteroptera_Nepidae","Heteroptera_Notonectidae","Heteroptera_Pleidae","Heteroptera_Veliidae","Heteroptera_PUPPE:_Heteroptera","Megaloptera","Megaloptera_Sialidae","Neuroptera","Neuroptera_Osmylidae","Neuroptera_Sisyridae","Coleoptera","Coleoptera_Curculionidae","Coleoptera_Chrysomelidae","Coleoptera_Dryopidae","Coleoptera_Dytiscidae","Coleoptera_Elmidae_(Larve)","Coleoptera_Elmidae_(adult)","Coleoptera_Elmis_sp.","Coleoptera_Elmis_sp._(adult)","Coleoptera_Esolus_sp.","Coleoptera_Esolus_sp._(adult)","Coleoptera_Limnius_sp._","Coleoptera_Limnius_sp.__(adult)","Coleoptera_Oulimnius_sp.","Coleoptera_Riolus_sp.","Coleoptera_Gyrinidae","Coleoptera_Haliplidae","Coleoptera_Helophoridae_(Tachet)","Coleoptera_Hydraenidae","Coleoptera_Hydrochidae_(Tachet)","Coleoptera_Hydrophilidae","Coleoptera_Hydroscaphidae","Coleoptera_Hygrobiidae","Coleoptera_Noteridae","Coleoptera_Psephenidae","Coleoptera_Scirtidae","Coleoptera_Spercheidae_(Tachet)","Trichoptera","Trichoptera_Apataniidae","Trichoptera_Beraeidae","Trichoptera_Brachycentridae","Trichoptera_Ecnomidae","Trichoptera_Glossosomatidae","Trichoptera_Goeridae","Trichoptera_Helicopsychidae","Trichoptera_Hydropsychidae","Trichoptera_Hydroptilidae","Trichoptera_Lepidostomatidae","Trichoptera_Leptoceridae","Trichoptera_Limnephilidae","Trichoptera_Molannidae","Trichoptera_Odontoceridae","Trichoptera_Philopotamidae","Trichoptera_Phryganeidae","Trichoptera_Polycentropodidae","Trichoptera_Psychomyiidae","Trichoptera_Ptilocolepidae","Trichoptera_Rhyacophilidae","Trichoptera_Sericostomatidae","Trichoptera_PUPPE:_Rhyacophilidae","Trichoptera_PUPPE:_Trichoptera","Lepidoptera","Diptera","Diptera_Anthomyiidae/Muscidae","Diptera_Athericidae","Diptera_Atherix_ibis","Diptera_Ibisia_marginata","Diptera_Blephariceridae","Diptera_Blephericera_sp.","Diptera_Hapalothrix_sp.","Diptera_Liponeura_sp.","Diptera_Ceratopogonidae","Diptera_Chaoboridae","Diptera_Chironomidae","Diptera_sF._Diamesinae","Diptera_sF._Orthocladiinae","Diptera_sF._Tanypodinae","Diptera_Tr._Tanytarsini","Diptera_Tr._Chironomini","Diptera_Pseudodiamesa_sp.","Diptera_Culicidae","Diptera_Cylindrotomidae","Diptera_Dixidae","Diptera_Dolichopodidae","Diptera_Empididae","Diptera_Ephydridae","Diptera_Limoniidae/Pediciidae","Diptera_Antocha_sp._","Diptera_Dicranota_sp.","Diptera_Eloeophila_sp.","Diptera_Hexatoma_sp._","Diptera_Molophilus_sp.","Diptera_Rhabdomastix_sp.","Diptera_Rhypholophus_sp.","Diptera_Psychodidae","Diptera_Ptychopteridae","Diptera_Rhagionidae","Diptera_Scathophagidae","Diptera_Sciomyzidae","Diptera_Simuliidae","Diptera_Stratiomyidae","Diptera_Syrphidae","Diptera_Tabanidae","Diptera_Thaumaleidae","Diptera_Tipulidae","Diptera_PUPPE:_Chironomidae/Diptera","Diptera_PUPPE:_Simuliidae"
"X90","L2","1-3","L2-1-3",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"108",NA,NA,NA,"202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"386","2",NA,"3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16",NA,NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"184","140","38",NA,"6",NA,NA,NA,NA,NA,NA,"2",NA,"12",NA,"9",NA,"2",NA,"1",NA,NA,NA,NA,NA,NA,"11",NA,NA,NA,NA,NA,"15",NA
"X91","L2","2-1","L2-2-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"893",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"6",NA,"3",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA
"X92","L2","2-2","L2-2-2",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21",NA,NA,NA,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"96",NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68",NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"82","66","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,"10","1"
"X93","L2","2-3","L2-2-3",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"55",NA,NA,NA,"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"180","2","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"115",NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"193","145","48",NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,"9",NA,"6",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,"14",NA
"X94","L2","3-1","L2-3-1",NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"88",NA,NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"159","2",NA,"3","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27",NA,NA,NA,NA,NA,NA,NA,"9",NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"179","137","42",NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,"4",NA,"3",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17","2"
"X95","L2","3-2","L2-3-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75",NA,NA,NA,"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"259","3",NA,"3","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7",NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"226","216","10",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"7",NA,"5",NA,"2",NA,NA,NA,"1",NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,"7","1"
"X96","L2","3-3","L2-3-3",NA,NA,NA,NA,"2",NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"194",NA,NA,NA,"190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"562","6",NA,"3","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,"12",NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"68","31","36",NA,"1",NA,NA,NA,NA,NA,NA,"3",NA,"8",NA,"6",NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,"23",NA,NA,NA,NA,NA,"16",NA
"X97","L2","4-1","L2-4-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7",NA,NA,NA,"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"150","3",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"8","4","3",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"12",NA,"6",NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA
"X98","L2","4-2","L2-4-2",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69",NA,NA,NA,"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"319","1",NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"330",NA,NA,NA,NA,NA,NA,NA,"18",NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"185","137","47",NA,"1",NA,NA,NA,NA,NA,NA,"3",NA,"6","1","4",NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21","1"
"X99","L2","4-3","L2-4-3",NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"190",NA,NA,NA,"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"368","2","1",NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"583",NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"102","57","45",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"9",NA,"8",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,"21","3"
"X100","LR","1-1","LR-1-1",NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"425",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,"2",NA,"3",NA,"2",NA,"1",NA,NA,NA,NA,NA,NA,"1",NA,"13",NA,"9",NA,"4",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA
"X101","LR","1-2","LR-1-2",NA,NA,NA,NA,"2",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1044",NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"10",NA,"4",NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"X102","LR","1-3","LR-1-3",NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,"126","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1387",NA,NA,NA,NA,NA,NA,NA,"8",NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"3","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21",NA,"12",NA,"9",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA
"X103","LR","2-1","LR-2-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,"5",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"250",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"166","3","73","30","5","55",NA,NA,NA,NA,NA,NA,NA,"11",NA,"5",NA,"6",NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA
"X104","LR","2-2","LR-2-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22","2",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75",NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8",NA,"2",NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"X105","LR","2-3","LR-2-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7",NA,NA,NA,"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"82",NA,NA,NA,NA,NA,"1",NA,"2",NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"8","5","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,"2",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA
"X106","LR","3-1","LR-3-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63",NA,NA,NA,"89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"78","11",NA,"1","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26",NA,NA,NA,NA,NA,NA,NA,"8",NA,"1",NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"37","15","22",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"6",NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8",NA,NA,NA,NA,NA,"1",NA
